rank wordform abs r
626 didn't 997 20
627 view 615 28
628 pleasant 624 29
629 party 695 29
630 beginning 615 29
631 horses 758 28
632 stopped 651 29
633 notice 589 29
634 duty 607 27
635 he's 895 22
636 age 588 29
637 figure 603 29
638 leaving 580 29
639 sleep 610 29
640 entirely 653 28
641 twenty 591 29
642 fall 583 28
643 promise 606 28
644 months 609 28
645 broken 590 29
646 heavy 623 29
647 secret 584 29
648 thousand 633 29
649 happiness 710 23
650 comfort 639 29
651 minute 610 29
652 act 571 29
653 human 616 28
654 fancy 578 29
655 strength 598 28
656 showed 601 26
657 pounds 608 29
658 nearly 603 29
659 probably 610 26
660 captain 1074 21
661 piece 576 29
662 school 838 25
663 write 575 29
664 laughed 628 29
665 reached 631 28
666 repeated 596 28
667 walking 581 29
668 father's 597 27
669 heaven 593 26
670 beauty 606 25
671 shook 567 29
672 sun 600 28
673 waiting 562 29
674 moved 563 28
675 bit 639 29
676 desire 597 25
677 news 573 28
678 front 611 29
679 effect 564 27
680 laugh 535 29
681 uncle 816 21
682 fit 538 29
683 miles 565 28
684 handsome 549 29
685 caught 548 29
686 hat 602 28
687 regard 608 26
688 gentlemen 624 26
689 supposed 541 27
690 easily 552 29
691 impossible 568 29
692 glass 569 29
693 resolved 634 25
694 grew 561 29
695 consider 554 29
696 green 587 28
697 considered 536 29
698 unless 554 29
699 stop 569 29
700 forth 608 26
701 expect 533 28
702 perfectly 600 28
703 altogether 516 29
704 surprise 557 29
705 sudden 514 29
706 free 524 29
707 exactly 546 29
708 grave 514 29
709 carriage 702 26
710 believed 541 29
711 service 536 26
712 angry 521 29
713 putting 524 29
714 carry 523 29
715 everybody 612 27
716 mentioned 582 25
717 looks 520 28
718 scarcely 594 27
719 society 553 26
720 affection 628 24
721 exclaimed 663 26
722 dress 525 28
723 die 528 28
724 earth 542 27
725 latter 565 25
726 garden 569 28
727 step 504 28
728 perfect 502 28
729 countenance 571 25
730 liked 556 28
731 dare 564 26
732 pain 514 27
733 companion 541 27
734 journey 501 29
735 paper 517 29
736 opportunity 531 28
737 makes 509 28
738 honest 552 28
739 arrived 543 26
740 you'll 744 24
741 bright 540 29
742 pity 493 28
743 directly 528 28
